user_id,condition,created_at,revoked_consent,study,id,scenario,question,question_severity,user_willingness,user_severity,timestamp
R_8I46ilm9FCWgZMB,2,2025-05-21 14:36:48.466+00,false,sagar,829462a195bd5f8f735f51c71f00381b5a6a8017f46069e45f691661ac101314,Work or Studies,Have you ever felt completely overwhelmed or lost when it comes to your professional or academic path?,High,5,High,2025-05-21 14:38:35.516+00
R_8I46ilm9FCWgZMB,2,2025-05-21 14:36:48.466+00,false,sagar,429f67db845bc15d7a194fea59955d5ec2b9c79d939e36b86420ef5b5bc2e7d2,Work or Studies,Have you been feeling any stress or mental fatigue related to your work or academic life lately?,Medium,5,High,2025-05-21 14:38:26.316+00
R_8I46ilm9FCWgZMB,2,2025-05-21 14:36:48.466+00,false,sagar,99106d63c9e6bba1bf8b983377bc497caad4bc68b82009abf93f7e05194f82bf,Work or Studies,What personal strengths do you draw on to stay mentally balanced in your career or studies?,Low,5,High,2025-05-21 14:38:17.399+00
R_8I46ilm9FCWgZMB,2,2025-05-21 14:36:48.466+00,false,sagar,a42732c510eeb0e1c836ca86e5fba6d72790db3e7ceb69c6c75d1013191a380f,Interpersonal Relations and Self-Concept,What is something you’ve done recently that made you feel genuinely proud or emotionally fulfilled?,Medium,5,High,2025-05-21 14:38:05.593+00
R_8I46ilm9FCWgZMB,2,2025-05-21 14:36:48.466+00,false,sagar,810d06b6fa42f9feae51f9e26f8e6a52d7f5c6144c73f2cb2701325fe2b0cccc,Interpersonal Relations and Self-Concept,Have past experiences in relationships ever left you feeling emotionally hurt or let down?,High,5,High,2025-05-21 14:37:56.429+00
R_8I46ilm9FCWgZMB,2,2025-05-21 14:36:48.466+00,false,sagar,5bf32d105d4af134cc3710a5f661dcb6e0401790702097c036b19870e5058980,Interpersonal Relations and Self-Concept,Do you ever feel a sense of loss or longing when you think about them?,Low,5,High,2025-05-21 14:37:50.105+00
R_8I46ilm9FCWgZMB,2,2025-05-21 14:36:48.466+00,false,sagar,2e47e04bfa49adde07ffcf0dc36e98759336fdba289fed1c53569fb1b86d2790,Tastes and Interests,"Are there certain types of music, shows, or stories that you avoid because they affect your mood negatively?",Medium,5,High,2025-05-21 14:37:38.09+00
R_8I46ilm9FCWgZMB,2,2025-05-21 14:36:48.466+00,false,sagar,2dc24d83232b276f9d06518a88837e21cb65a95cd83634d37608592b8b65b2b8,Tastes and Interests,Have you ever felt emotionally triggered by people that you strongly disagreed with socially?,High,5,High,2025-05-21 14:37:28.68+00
R_8I46ilm9FCWgZMB,2,2025-05-21 14:36:48.466+00,false,sagar,763692e485df077fd9efd88cd016c6e2089edcf2e468fb37ca7f0100d7b31bff,Tastes and Interests,What types of social environments do you find most comforting or energizing?,Low,5,High,2025-05-21 14:37:16.487+00
R_2C8CJdVPw00mmq1,1,2025-05-21 14:42:11.23+00,false,sagar,83f82954cd2e5fb4a1a8b79d1952926cc6e367da5d290215e875f1976f796a34,Work or Studies,Have you ever felt completely overwhelmed or lost when it comes to your professional or academic path?,High,5,High,2025-05-21 14:42:29.002+00
R_2C8CJdVPw00mmq1,1,2025-05-21 14:42:11.23+00,false,sagar,62b1f713226e2887e7fc9333e012f57b510edebe6d123eea01d54126e4ba320a,Work or Studies,Have you been feeling any stress or mental fatigue related to your work or academic life lately?,Medium,5,High,2025-05-21 14:42:27.798+00
R_2C8CJdVPw00mmq1,1,2025-05-21 14:42:11.23+00,false,sagar,5cbd9506d79eb453116deb414598e00270e1d73a61e8e5938a524b0a96585e65,Work or Studies,What personal strengths do you draw on to stay mentally balanced in your career or studies?,Low,5,High,2025-05-21 14:42:26.589+00
R_2C8CJdVPw00mmq1,1,2025-05-21 14:42:11.23+00,false,sagar,a7fda90c29bc2935ab70eed5ddd4c9d3a2c8cfda292908f56422e13153e6f488,Interpersonal Relations and Self-Concept,What is something you’ve done recently that made you feel genuinely proud or emotionally fulfilled?,Medium,5,High,2025-05-21 14:42:24.775+00
R_2C8CJdVPw00mmq1,1,2025-05-21 14:42:11.23+00,false,sagar,89a3a12f1b7887fd13c926c36857935d3f06f404d228b087f22b55a9f4294174,Interpersonal Relations and Self-Concept,Have past experiences in relationships ever left you feeling emotionally hurt or let down?,High,5,High,2025-05-21 14:42:23.615+00
R_2C8CJdVPw00mmq1,1,2025-05-21 14:42:11.23+00,false,sagar,69a613dc69f3e60728df078ee70919b103956dcb8e7f43e51c2b6d81e5d79b04,Interpersonal Relations and Self-Concept,Do you ever feel a sense of loss or longing when you think about them?,Low,5,High,2025-05-21 14:42:22.532+00
R_2C8CJdVPw00mmq1,1,2025-05-21 14:42:11.23+00,false,sagar,bdbaa5be47d2770fe31cc2010c281d0abf7ba5b4f4ff49a8ca62594f80432000,Tastes and Interests,"Are there certain types of music, shows, or stories that you avoid because they affect your mood negatively?",Medium,5,High,2025-05-21 14:42:19.641+00
R_2C8CJdVPw00mmq1,1,2025-05-21 14:42:11.23+00,false,sagar,cdf414ca2c8e1a13fce2e738a930cd6198f0b65bc1d2186f751cf8c90245a446,Tastes and Interests,Have you ever felt emotionally triggered by people that you strongly disagreed with socially?,High,5,High,2025-05-21 14:42:18.404+00
R_2C8CJdVPw00mmq1,1,2025-05-21 14:42:11.23+00,false,sagar,3f6aeb2d16bef13b3eaf19f313673bfffdf031d7923079e4de7549bf90baa71e,Tastes and Interests,What types of social environments do you find most comforting or energizing?,Low,5,High,2025-05-21 14:42:16.423+00
