StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q5_1_1,Q5_1_2,Q5_1_8,Q5_2_1,Q5_2_2,Q5_2_8,Q5_3_1,Q5_3_2,Q5_3_8,Q5_4_1,Q5_4_2,Q5_4_8,Q5_5_1,Q5_5_2,Q5_5_8,Q5_6_1,Q5_6_2,Q5_6_8,Q5_7_1,Q5_7_2,Q5_7_8,Q5_8_1,Q5_8_2,Q5_8_8,Q5_9_1,Q5_9_2,Q5_9_8,Q5_10_1,Q5_10_2,Q5_10_8,Q5_11_1,Q5_11_2,Q5_11_8,Q5_12_1,Q5_12_2,Q5_12_8,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q14,Q16,Q17,Q18,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,SC0,study_id,uid
2025-05-16 20:21:20,2025-05-16 20:21:20,IP Address,145.94.182.201,100,0,True,2025-05-16 20:21:21,R_8CEmxZAF0Ef1l24,,,,,52.0054,4.3954,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,9us9krkbd7
2025-05-16 21:56:46,2025-05-16 21:57:21,IP Address,46.129.29.18,100,35,True,2025-05-16 21:57:22,R_8OTxqiJeW4MIquF,,,,,52.0134,4.3655,anonymous,EN,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,cdb16174-c026-4f93-aa82-55c98c745558,uzpy6cbl44
2025-05-17 00:41:34,2025-05-17 00:41:34,IP Address,94.211.41.160,100,0,True,2025-05-17 00:41:34,R_8I2iaC4KHRH3kmR,,,,,52.0804,4.3128,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:43:27,2025-05-17 00:43:27,IP Address,94.211.41.160,100,0,True,2025-05-17 00:43:27,R_8ROJPXBtRlj6NzP,,,,,52.0804,4.3128,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,qmfbbrm0clb
2025-05-17 00:43:38,2025-05-17 00:43:38,IP Address,94.211.41.160,100,0,True,2025-05-17 00:43:38,R_8WPh3fegbZD6ras,,,,,52.0804,4.3128,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,qmfbbrm0clb
2025-05-17 00:44:50,2025-05-17 00:44:50,IP Address,83.86.207.64,100,0,True,2025-05-17 00:44:51,R_2cILDw2UfK3CFot,,,,,51.9905,4.3364,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,qmfbbrm0clb
2025-05-17 00:44:55,2025-05-17 00:44:55,IP Address,83.86.207.64,100,0,True,2025-05-17 00:44:55,R_24aP1NL2DKelVLj,,,,,51.9905,4.3364,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,qmfbbrm0clb
2025-05-17 00:50:30,2025-05-17 00:50:30,IP Address,94.211.41.160,100,0,True,2025-05-17 00:50:31,R_2mdUV6LbudZvUbe,,,,,52.0804,4.3128,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${studyId}`,${uid}
2025-05-17 00:52:03,2025-05-17 00:52:03,IP Address,83.86.207.64,100,0,True,2025-05-17 00:52:03,R_8PhSpbfC1vupDRo,,,,,51.9905,4.3364,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${studyId}`,${uid}
2025-05-17 01:14:31,2025-05-17 01:14:31,IP Address,54.198.55.229,100,0,True,2025-05-17 01:14:31,R_1Bro5MX40B7GVO6,,,,,39.0469,-77.4903,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-17 01:53:05,2025-05-17 01:53:05,IP Address,83.86.207.64,100,0,True,2025-05-17 01:53:05,R_8CN0m2ItResyUam,,,,,51.9905,4.3364,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${studyId}`,${uid}
2025-05-21 16:35:32,2025-05-21 16:35:32,Survey Preview,,100,0,True,2025-05-21 16:35:32,R_8mgUZWHWJaFKbUK,,,,,51.9905,4.3364,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-21 16:38:44,2025-05-21 16:39:04,IP Address,83.86.207.64,100,20,True,2025-05-21 16:39:04,R_8vA7ofUv1hBKmjv,,,,,51.9905,4.3364,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural (5),Humanlike (5),Conscious (5),Lifelike (5),Communicating elegantly (5),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,R_8I46ilm9FCWgZMB
2025-05-21 16:42:31,2025-05-21 16:42:44,IP Address,83.86.207.64,100,13,True,2025-05-21 16:42:45,R_2BzkvWVfbBIASXb,,,,,51.9905,4.3364,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural (5),Humanlike (5),Conscious (5),Lifelike (5),Communicating elegantly (5),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,R_2C8CJdVPw00mmq1
